chaos_region,crop_size,f1,precision,recall,best_threshold
A,250,0.3552,0.7177,0.2360,0.1000000000
aa,250,0.0014,0.0271,0.0007,0.1047615753
B,250,0.3666,0.4893,0.2931,0.1000000000
bb,250,0.0256,0.2417,0.0135,0.1000000000
C,250,0.5297,0.5975,0.4757,0.1000000000
Co,250,0.6422,0.6117,0.6761,0.1023531022
D,250,0.3050,0.2681,0.3535,0.1000000000
dd,250,0.1714,0.2114,0.1442,0.1047615753
E,250,0.1969,0.3668,0.1346,0.1000000000
ee,250,0.3995,0.3689,0.4356,0.2009233003
F,250,0.3275,0.3225,0.3326,0.2104904145
ff,250,0.0631,0.6786,0.0331,0.1000000000
G,250,0.3547,0.2838,0.4727,0.2154434690
gg,250,0.0355,0.5529,0.0183,0.1000000000
H,250,0.1104,0.0664,0.3261,0.1023531022
hh,250,0.4300,0.3533,0.5493,0.1204503540
I,250,0.4389,0.3965,0.4914,0.1384886371
ii,250,0.4959,0.4539,0.5464,0.1484968262
jj,250,0.3623,0.2852,0.4964,0.2056512308
kk,250,0.4147,0.3205,0.5870,0.1176811952
